date,city,diff
200704,高雄市,86
200705,高雄市,149
200706,高雄市,625
200707,高雄市,983
200708,高雄市,715
200709,高雄市,417
200710,高雄市,587
200711,高雄市,689
200712,高雄市,1080
200801,高雄市,412
200802,高雄市,447
200803,高雄市,57
200804,高雄市,22
200805,高雄市,42
200806,高雄市,495
200807,高雄市,306
200808,高雄市,106
200809,高雄市,-17
200810,高雄市,620
200811,高雄市,985
200812,高雄市,711
200901,高雄市,812
200902,高雄市,-73
200903,高雄市,257
200904,高雄市,-536
200905,高雄市,-327
200906,高雄市,-115
200907,高雄市,342
200908,高雄市,-672
200909,高雄市,-25
200910,高雄市,753
200911,高雄市,735
200912,高雄市,682
201001,高雄市,102
201002,高雄市,106
201003,高雄市,196
201004,高雄市,189
201005,高雄市,185
201006,高雄市,-983
201007,高雄市,1667
201008,高雄市,519
201009,高雄市,-91
201010,高雄市,215
201011,高雄市,600
201012,高雄市,-109
201101,高雄市,-50
201102,高雄市,-504
201103,高雄市,-95
201104,高雄市,147
201105,高雄市,-131
201106,高雄市,-389
201107,高雄市,186
201108,高雄市,191
201109,高雄市,319
201110,高雄市,369
201111,高雄市,329
201112,高雄市,615
201201,高雄市,455
201202,高雄市,-94
201203,高雄市,-245
201204,高雄市,63
201205,高雄市,81
201206,高雄市,752
201207,高雄市,252
201208,高雄市,470
201209,高雄市,346
201210,高雄市,578
201211,高雄市,769
201212,高雄市,762
201301,高雄市,139
201302,高雄市,298
201303,高雄市,-160
201304,高雄市,-143
201305,高雄市,127
201306,高雄市,172
201307,高雄市,324
201308,高雄市,32
201309,高雄市,-202
201310,高雄市,181
201311,高雄市,136
201312,高雄市,314
201401,高雄市,-87
201402,高雄市,-137
201403,高雄市,-984
201404,高雄市,-537
201405,高雄市,-717
201406,高雄市,-119
201407,高雄市,-56
201408,高雄市,78
201409,高雄市,143
201410,高雄市,312
201411,高雄市,382
201412,高雄市,837
201501,高雄市,363
201502,高雄市,172
201503,高雄市,-391
201504,高雄市,-222
201505,高雄市,-121
201506,高雄市,42
201507,高雄市,-559
201508,高雄市,-328
201509,高雄市,-78
201510,高雄市,379
201511,高雄市,263
201512,高雄市,406
201601,高雄市,-189
