date,高雄市,雲林縣,金門縣,連江縣,苗栗縣,花蓮縣,台東縣,台南市,台北市,台中市,福建省,桃園市,新竹縣,新竹市,新北市,彰化縣,屏東縣,宜蘭縣,基隆市,嘉義縣,嘉義市,南投縣
2007-04,86,-284,534,-10,31,-97,-89,320,873,1566,524,73,685,141,1649,-111,-328,54,43,-373,213,-194
2007-05,149,-176,300,-1,78,-117,-198,371,86,1871,299,36,695,337,3324,-486,-529,-104,-75,-173,37,-344
2007-06,625,-118,316,24,-42,-249,-267,132,758,1694,340,18,691,244,2718,-239,-305,-28,-81,-280,247,-283
2007-07,983,-291,422,38,74,-153,-217,305,340,1706,460,65,904,-1,2965,32,-180,78,-70,-113,93,-4
2007-08,715,-263,420,11,38,-247,-331,189,-1077,2162,431,21,1097,291,3644,-96,-346,101,-44,-146,-14,-117
2007-09,417,-365,326,15,-86,-77,-170,73,-1894,1239,341,-6,819,304,3660,-213,-421,-119,3,-236,7,-288
2007-10,587,-19,445,42,154,-36,-113,249,745,1423,487,17,555,455,2914,89,-13,25,122,-89,47,237
2007-11,689,-171,465,16,94,-113,-116,579,1423,1890,481,65,571,507,2527,215,-95,140,29,-46,48,-22
2007-12,1080,-87,446,10,113,-159,-65,665,1742,2100,456,151,470,496,3086,341,-135,40,58,-18,176,8
2008-01,412,-296,356,8,34,-40,-51,286,420,1921,364,33,601,564,2560,-43,-244,-79,-181,-191,62,-110
2008-02,447,51,160,0,-38,-120,-118,97,1277,1281,160,-39,358,358,2395,142,-414,265,-132,-395,148,-106
2008-03,57,-49,260,24,-17,-116,-181,335,639,1044,284,-21,465,473,1999,-200,-401,72,-169,-415,137,-181
2008-04,22,113,445,8,-222,-128,-134,419,-639,1492,453,52,730,678,1411,-584,-590,336,-185,-516,64,-150
2008-05,42,-23,310,-28,-59,-198,-285,200,-451,1419,282,43,802,717,2495,-405,-639,-74,-130,-374,189,-287
2008-06,495,-231,147,-17,-10,-184,-228,111,-324,1739,130,144,595,543,2168,-261,-489,164,-157,-189,114,-121
2008-07,306,-243,104,-57,63,-116,-211,343,-1492,1513,47,167,653,327,3741,-266,-272,44,-230,-263,178,-147
2008-08,106,-356,168,-29,-10,-397,-194,178,-2585,1219,139,138,570,577,3417,-95,-321,142,-79,-248,107,-193
2008-09,-17,-304,122,-23,55,-160,-151,40,-3181,796,99,77,717,366,3622,-215,-553,-174,-47,-102,-42,-348
2008-10,620,-23,116,-1,208,-51,-44,386,-394,1398,115,120,700,471,3341,184,-197,-84,-111,-49,54,-40
2008-11,985,-73,373,-24,230,-83,-8,550,-414,1778,349,77,613,614,4204,337,-127,33,59,9,-22,25
2008-12,711,-564,462,-52,0,-276,-206,-1,798,1678,410,127,648,648,4362,-13,-478,-141,-56,119,-271,-306
2009-01,812,26,271,-5,219,71,14,544,-833,1382,266,138,382,560,3347,208,14,111,88,70,20,57
2009-02,-73,-251,714,18,-68,-241,-69,-323,-1817,774,732,255,514,540,3328,-168,-368,-271,-280,-449,53,-77
2009-03,257,-175,709,-7,96,-41,99,452,-353,1763,702,272,599,848,3385,6,-417,166,-23,-313,202,-103
2009-04,-536,-303,1192,10,2,-176,60,-159,-1444,134,1202,286,414,441,1555,-548,-405,-9,-67,-337,144,-116
2009-05,-327,67,678,8,-15,-14,-23,235,-910,427,686,317,673,287,2209,-194,-278,-62,-4,-108,-124,-270
2009-06,-115,27,1337,19,-50,-129,141,-73,-1046,771,1356,310,691,419,1938,-74,-309,624,10,-44,83,63
2009-07,342,46,1060,63,213,44,206,242,-1235,767,1123,270,783,403,3688,-134,-154,-193,-19,92,-44,-130
2009-08,-672,-253,730,-1,181,54,13,349,-2680,405,729,136,828,496,4660,-270,-320,-17,-60,-117,-76,-236
2009-09,-25,-251,629,22,122,-126,-55,40,-4009,686,651,153,726,546,4800,-232,-90,-48,-148,-340,-175,-186
2009-10,753,224,712,8,218,35,55,591,-410,1402,720,306,570,488,3738,442,64,142,66,82,-15,14
2009-11,735,-54,505,9,234,39,92,243,-307,1497,514,191,605,551,3501,402,221,154,-46,190,69,122
2009-12,682,18,696,20,195,15,115,260,-451,1681,716,268,824,637,3774,94,-156,126,-175,259,-69,-67
2010-01,102,-107,402,83,202,62,324,-162,-1277,713,485,177,406,394,2417,24,-301,251,-185,-7,-83,51
2010-02,106,-73,269,42,0,-29,92,-179,-1088,758,311,39,320,252,2212,-136,-148,25,-119,-81,-87,-170
2010-03,196,-831,227,-28,-324,-203,-225,100,-319,1586,199,33,244,617,3757,-654,-806,-118,-393,-727,26,-507
2010-04,189,-663,210,-6,-230,-89,-197,-25,-1093,1144,204,-4,295,467,2715,-513,-835,-191,-417,-515,-78,-431
2010-05,185,-652,127,-25,-73,-282,-265,-346,499,601,102,12,-292,67,753,-790,-804,-183,-450,-508,-195,-446
2010-06,-983,-1798,107,-56,-1398,-752,-489,-1223,-1282,-658,51,-79,-2053,-491,-4764,-1472,-1684,-805,-888,-1096,-562,-1038
2010-07,1667,-440,264,-3,293,-12,-316,452,2489,2772,261,48,1072,589,8306,-250,-953,72,-337,-408,-49,-343
2010-08,519,-35,374,23,347,-113,-281,10,-48,1593,397,54,770,522,3567,-350,-928,43,-144,-138,-51,-166
2010-09,-91,-142,308,8,-4,-251,-199,-279,3614,924,316,-2,453,319,-13,-483,-802,-40,-434,-383,-71,-475
2010-10,215,-139,531,-26,60,-203,-109,65,4148,1287,505,223,256,359,1137,-343,-683,-109,-364,-115,-188,-388
2010-11,600,-152,359,13,178,-131,-103,100,2542,1181,372,86,188,322,2576,-35,-615,-12,-294,-186,-101,-179
2010-12,-109,-110,383,0,173,-156,-56,-125,3159,757,383,121,474,340,1051,-179,-572,-72,-162,-304,-32,-241
